Date,Temperature_C,Humidity_%,Speed_kmh,Pressure_hPa,Precip_Accum_mm,Wind,NO2,PM10,PM25,AQI,Dominant_pollutant
2022-06-29,27.04,71.16,2.54,1005.25,0.0,NE,5.74,56.34,17.44,68.564,PM10
2022-06-30,,,,,,,13.42,45.47,15.17,85.09440000000001,PM10
2022-07-01,26.18,80.84,6.03,1007.44,0.0,SE,10.03,71.03,18.45,91.91040000000001,PM10
2022-07-02,27.48,62.55,4.76,1010.89,0.0,NE,18.87,85.23,23.01,57.056000000000004,PM10
2022-07-03,27.8,59.06,2.36,1010.62,0.0,NE,13.6,35.88,11.78,58.711999999999996,PM10
2022-07-04,29.41,51.5,4.58,1008.58,0.0,NNE,17.29,37.26,12.66,80.3856,PM10
2022-07-05,27.72,65.74,2.98,1008.07,0.25,NE,24.91,61.22,17.48,65.468,PM10
2022-07-06,28.09,50.29,5.16,1010.63,0.0,NNE,9.31,42.89,10.86,75.792,PM10
2022-07-07,26.33,46.59,6.5,1010.15,0.0,NNE,16.43,51.65,12.02,62.636,PM10
2022-07-08,24.33,47.61,7.94,1012.87,0.0,NNE,4.63,40.53,8.07,45.976,PM10
2022-07-09,23.72,45.27,6.79,1014.83,0.0,NNE,11.09,28.11,5.82,35.368,PM10
2022-07-10,23.6,60.15,2.58,1011.1,0.0,NNE,5.81,21.48,7.24,36.392,PM10
2022-07-11,23.43,54.51,5.69,1012.53,0.0,NNE,14.94,22.12,5.83,58.388000000000005,PM10
2022-07-12,23.55,60.71,3.6,1014.63,0.21,SSE,24.03,36.99,7.82,42.856,PM10
2022-07-13,24.95,49.9,3.43,1016.27,0.0,NNE,18.78,26.16,5.52,27.560000000000002,PM10
2022-07-14,25.99,53.24,1.38,1013.16,0.0,NE,24.56,16.6,5.26,39.352,PM10
2022-07-15,26.44,50.27,3.59,1008.0,0.0,NE,15.21,23.97,7.33,48.504000000000005,PM10
2022-07-16,28.18,51.21,5.28,1010.73,0.0,NNE,24.02,29.69,8.97,51.824,PM10
2022-07-17,27.94,47.2,7.02,1013.49,0.0,NNE,10.96,31.52,11.28,45.32,PM10
2022-07-18,27.59,40.89,6.31,1014.82,0.0,NNE,24.45,27.7,8.59,56.588,PM10
2022-07-19,28.03,36.38,4.61,1013.47,0.0,NNE,19.55,35.49,8.25,62.791999999999994,PM10
2022-07-20,28.05,39.26,3.91,1012.34,0.0,NNE,23.19,40.66,8.36,58.988,PM10
2022-07-21,27.78,43.89,0.98,1010.52,0.0,NE,46.06,37.49,9.63,65.468,PM10
2022-07-22,28.88,48.98,1.37,1009.63,0.0,NE,31.08,42.89,20.94,72.97999999999999,PM10
2022-07-23,27.31,63.74,3.75,1008.98,0.0,NE,17.76,49.15,26.54,50.312000000000005,PM10
2022-07-24,29.49,50.15,4.07,1009.04,0.0,NE,13.74,30.26,13.48,44.712,PM10
2022-07-25,29.96,52.46,1.45,1006.76,0.0,NE,16.79,27.32,12.73,56.252,PM10
2022-07-26,28.18,58.87,4.04,1003.81,0.0,NNE,21.75,35.21,14.54,68.468,PM10
2022-07-27,27.51,55.24,5.75,1004.24,0.12,NNE,17.8,45.39,12.41,73.52,PM10
